, d, , 
, d, , 
, d, , 
, d, , 
11330, 赵婷, 女, 0
11330, 赵婷, 女, 0
11330, 赵婷, 女, 0
11330, 赵婷, 女, 0
11330, 赵婷, 女, 0
11879, 刘芳, 女, 0
11879, 刘芳, 女, 0
11879, 刘芳, 女, 0
11879, 刘芳, 女, 0
11879, 刘芳, 女, 0
11879, 刘芳, 女, 0
12185, 黄华, 女, 0
12185, 黄华, 女, 0
12185, 黄华, 女, 0
12185, 黄华, 女, 0
12185, 黄华, 女, 0
12185, 黄华, 女, 0
12465, 吴强, 女, 0
12465, 吴强, 女, 0
12465, 吴强, 女, 0
12465, 吴强, 女, 0
12465, 吴强, 女, 0
12465, 吴强, 女, 0
14735, 黄丽, 女, 0
14735, 黄丽, 女, 0
14735, 黄丽, 女, 0
14735, 黄丽, 女, 0
14735, 黄丽, 女, 0
14735, 黄丽, 女, 0
17740, 杨强, 女, 0
17740, 杨强, 女, 0
17740, 杨强, 女, 0
17740, 杨强, 女, 0
17740, 杨强, 女, 0
17740, 杨强, 女, 0
18683, 朱伟, 女, 0
18683, 朱伟, 女, 0
18683, 朱伟, 女, 0
18683, 朱伟, 女, 0
18683, 朱伟, 女, 0
18683, 朱伟, 女, 0
18985, 吴娜, 女, 0
18985, 吴娜, 女, 0
18985, 吴娜, 女, 0
18985, 吴娜, 女, 0
18985, 吴娜, 女, 0
18985, 吴娜, 女, 0
19610, 高花, 女, 0
19610, 高花, 女, 0
19610, 高花, 女, 0
19610, 高花, 女, 0
19610, 高花, 女, 0
19610, 高花, 女, 0
466, 吴强, 女, 0
12422, 黄强, 男, 0
12422, 黄强, 男, 0
12422, 黄强, 男, 0
12422, 黄强, 男, 0
12422, 黄强, 男, 0
12422, 黄强, 男, 0
12618, 赵丽, 男, 0
12618, 赵丽, 男, 0
12618, 赵丽, 男, 0
12618, 赵丽, 男, 0
12618, 赵丽, 男, 0
12618, 赵丽, 男, 0
13244, 徐霞, 男, 0
13244, 徐霞, 男, 0
13244, 徐霞, 男, 0
13244, 徐霞, 男, 0
13244, 徐霞, 男, 0
13244, 徐霞, 男, 0
14713, 胡丽, 男, 0
14713, 胡丽, 男, 0
14713, 胡丽, 男, 0
14713, 胡丽, 男, 0
14713, 胡丽, 男, 0
14713, 胡丽, 男, 0
14747, 高霞, 男, 0
14747, 高霞, 男, 0
14747, 高霞, 男, 0
14747, 高霞, 男, 0
14747, 高霞, 男, 0
14747, 高霞, 男, 0
15310, 孙霞, 男, 0
15310, 孙霞, 男, 0
15310, 孙霞, 男, 0
15310, 孙霞, 男, 0
15310, 孙霞, 男, 0
15310, 孙霞, 男, 0
15458, 李娜, 男, 0
15458, 李娜, 男, 0
15458, 李娜, 男, 0
15458, 李娜, 男, 0
15458, 李娜, 男, 0
15458, 李娜, 男, 0
18608, 朱勇, 男, 0
18608, 朱勇, 男, 0
18608, 朱勇, 男, 0
18608, 朱勇, 男, 0
18608, 朱勇, 男, 0
18608, 朱勇, 男, 0
18917, 黄霞, 男, 0
18917, 黄霞, 男, 0
18917, 黄霞, 男, 0
18917, 黄霞, 男, 0
18917, 黄霞, 男, 0
18917, 黄霞, 男, 0
19915, 胡华, 男, 0
19915, 胡华, 男, 0
19915, 胡华, 男, 0
19915, 胡华, 男, 0
19915, 胡华, 男, 0
19915, 胡华, 男, 0
11309, 胡婷, 女, 1
11309, 胡婷, 女, 1
11309, 胡婷, 女, 1
11309, 胡婷, 女, 1
11309, 胡婷, 女, 1
11309, 胡婷, 女, 1
11463, 高勇, 女, 1
11463, 高勇, 女, 1
11463, 高勇, 女, 1
11463, 高勇, 女, 1
11463, 高勇, 女, 1
11463, 高勇, 女, 1
12075, 李勇, 女, 1
12075, 李勇, 女, 1
12075, 李勇, 女, 1
12075, 李勇, 女, 1
12075, 李勇, 女, 1
12075, 李勇, 女, 1
17519, 刘伟, 女, 1
17519, 刘伟, 女, 1
17519, 刘伟, 女, 1
17519, 刘伟, 女, 1
17519, 刘伟, 女, 1
17519, 刘伟, 女, 1
17634, 吴娜, 女, 1
17634, 吴娜, 女, 1
17634, 吴娜, 女, 1
17634, 吴娜, 女, 1
17634, 吴娜, 女, 1
17634, 吴娜, 女, 1
19003, 刘花, 女, 1
19003, 刘花, 女, 1
19003, 刘花, 女, 1
19003, 刘花, 女, 1
19003, 刘花, 女, 1
19003, 刘花, 女, 1
19697, 黄芳, 女, 1
19697, 黄芳, 女, 1
19697, 黄芳, 女, 1
19697, 黄芳, 女, 1
19697, 黄芳, 女, 1
19697, 黄芳, 女, 1
5419, 杨丽, 女, 1
7617, 陈霞, 女, 1
13705, 杨丽, 男, 1
13705, 杨丽, 男, 1
13705, 杨丽, 男, 1
13705, 杨丽, 男, 1
13705, 杨丽, 男, 1
13705, 杨丽, 男, 1
13859, 李飞, 男, 1
13859, 李飞, 男, 1
13859, 李飞, 男, 1
13859, 李飞, 男, 1
13859, 李飞, 男, 1
13859, 李飞, 男, 1
17909, 孙勇, 男, 1
17909, 孙勇, 男, 1
17909, 孙勇, 男, 1
17909, 孙勇, 男, 1
17909, 孙勇, 男, 1
17909, 孙勇, 男, 1
19099, 陈刚, 男, 1
19099, 陈刚, 男, 1
19099, 陈刚, 男, 1
19099, 陈刚, 男, 1
19099, 陈刚, 男, 1
19099, 陈刚, 男, 1
19682, 杨军, 男, 1
19682, 杨军, 男, 1
19682, 杨军, 男, 1
19682, 杨军, 男, 1
19682, 杨军, 男, 1
19682, 杨军, 男, 1
8274, 陈丽, 男, 1
9648, 黄丽, 男, 1
9952, 高花, 男, 1
10444, 陈强, 女, 10
10444, 陈强, 女, 10
10444, 陈强, 女, 10
10444, 陈强, 女, 10
10444, 陈强, 女, 10
10444, 陈强, 女, 10
10712, 王婷, 女, 10
10712, 王婷, 女, 10
10712, 王婷, 女, 10
10712, 王婷, 女, 10
10712, 王婷, 女, 10
10712, 王婷, 女, 10
10891, 黄芳, 女, 10
10891, 黄芳, 女, 10
10891, 黄芳, 女, 10
10891, 黄芳, 女, 10
10891, 黄芳, 女, 10
10891, 黄芳, 女, 10
11832, 刘飞, 女, 10
11832, 刘飞, 女, 10
11832, 刘飞, 女, 10
11832, 刘飞, 女, 10
11832, 刘飞, 女, 10
11832, 刘飞, 女, 10
12686, 王军, 女, 10
12686, 王军, 女, 10
12686, 王军, 女, 10
12686, 王军, 女, 10
12686, 王军, 女, 10
12686, 王军, 女, 10
15302, 黄华, 女, 10
15302, 黄华, 女, 10
15302, 黄华, 女, 10
15302, 黄华, 女, 10
15302, 黄华, 女, 10
15302, 黄华, 女, 10
16960, 杨明, 女, 10
16960, 杨明, 女, 10
16960, 杨明, 女, 10
16960, 杨明, 女, 10
16960, 杨明, 女, 10
16960, 杨明, 女, 10
16985, 刘勇, 女, 10
16985, 刘勇, 女, 10
16985, 刘勇, 女, 10
16985, 刘勇, 女, 10
16985, 刘勇, 女, 10
16985, 刘勇, 女, 10
17722, 陈芳, 女, 10
17722, 陈芳, 女, 10
17722, 陈芳, 女, 10
17722, 陈芳, 女, 10
17722, 陈芳, 女, 10
17722, 陈芳, 女, 10
18044, 吴强, 女, 10
18044, 吴强, 女, 10
18044, 吴强, 女, 10
18044, 吴强, 女, 10
18044, 吴强, 女, 10
18044, 吴强, 女, 10
19242, 黄婷, 女, 10
19242, 黄婷, 女, 10
19242, 黄婷, 女, 10
19242, 黄婷, 女, 10
19242, 黄婷, 女, 10
19242, 黄婷, 女, 10
19874, 孙军, 女, 10
19874, 孙军, 女, 10
19874, 孙军, 女, 10
19874, 孙军, 女, 10
19874, 孙军, 女, 10
19874, 孙军, 女, 10
19896, 王强, 女, 10
19896, 王强, 女, 10
19896, 王强, 女, 10
19896, 王强, 女, 10
19896, 王强, 女, 10
19896, 王强, 女, 10
5307, 高勇, 女, 10
11246, 李花, 男, 10
11246, 李花, 男, 10
11246, 李花, 男, 10
11246, 李花, 男, 10
11246, 李花, 男, 10
11246, 李花, 男, 10
11975, 徐明, 男, 10
11975, 徐明, 男, 10
11975, 徐明, 男, 10
11975, 徐明, 男, 10
11975, 徐明, 男, 10
11975, 徐明, 男, 10
16725, 赵丽, 男, 10
16725, 赵丽, 男, 10
16725, 赵丽, 男, 10
16725, 赵丽, 男, 10
16725, 赵丽, 男, 10
16725, 赵丽, 男, 10
17057, 胡刚, 男, 10
17057, 胡刚, 男, 10
17057, 胡刚, 男, 10
17057, 胡刚, 男, 10
17057, 胡刚, 男, 10
17057, 胡刚, 男, 10
17518, 孙花, 男, 10
17518, 孙花, 男, 10
17518, 孙花, 男, 10
17518, 孙花, 男, 10
17518, 孙花, 男, 10
17518, 孙花, 男, 10
18058, 张丽, 男, 10
18058, 张丽, 男, 10
18058, 张丽, 男, 10
18058, 张丽, 男, 10
18058, 张丽, 男, 10
18058, 张丽, 男, 10
19826, 刘婷, 男, 10
19826, 刘婷, 男, 10
19826, 刘婷, 男, 10
19826, 刘婷, 男, 10
19826, 刘婷, 男, 10
19826, 刘婷, 男, 10
12584, 周娜, 女, 2
12584, 周娜, 女, 2
12584, 周娜, 女, 2
12584, 周娜, 女, 2
12584, 周娜, 女, 2
12584, 周娜, 女, 2
12674, 孙花, 女, 2
12674, 孙花, 女, 2
12674, 孙花, 女, 2
12674, 孙花, 女, 2
12674, 孙花, 女, 2
12674, 孙花, 女, 2
13172, 黄花, 女, 2
13172, 黄花, 女, 2
13172, 黄花, 女, 2
13172, 黄花, 女, 2
13172, 黄花, 女, 2
13172, 黄花, 女, 2
13983, 胡华, 女, 2
13983, 胡华, 女, 2
13983, 胡华, 女, 2
13983, 胡华, 女, 2
13983, 胡华, 女, 2
13983, 胡华, 女, 2
13986, 高刚, 女, 2
13986, 高刚, 女, 2
13986, 高刚, 女, 2
13986, 高刚, 女, 2
13986, 高刚, 女, 2
13986, 高刚, 女, 2
14974, 孙军, 女, 2
14974, 孙军, 女, 2
14974, 孙军, 女, 2
14974, 孙军, 女, 2
14974, 孙军, 女, 2
14974, 孙军, 女, 2
15523, 周勇, 女, 2
15523, 周勇, 女, 2
15523, 周勇, 女, 2
15523, 周勇, 女, 2
15523, 周勇, 女, 2
15523, 周勇, 女, 2
15751, 陈军, 女, 2
15751, 陈军, 女, 2
15751, 陈军, 女, 2
15751, 陈军, 女, 2
15751, 陈军, 女, 2
15751, 陈军, 女, 2
17052, 孙伟, 女, 2
17052, 孙伟, 女, 2
17052, 孙伟, 女, 2
17052, 孙伟, 女, 2
17052, 孙伟, 女, 2
17052, 孙伟, 女, 2
17899, 王勇, 女, 2
17899, 王勇, 女, 2
17899, 王勇, 女, 2
17899, 王勇, 女, 2
17899, 王勇, 女, 2
17899, 王勇, 女, 2
18823, 孙飞, 女, 2
18823, 孙飞, 女, 2
18823, 孙飞, 女, 2
18823, 孙飞, 女, 2
18823, 孙飞, 女, 2
18823, 孙飞, 女, 2
10005, 李伟, 男, 2
10005, 李伟, 男, 2
10005, 李伟, 男, 2
10005, 李伟, 男, 2
10005, 李伟, 男, 2
10005, 李伟, 男, 2
11867, 刘刚, 男, 2
11867, 刘刚, 男, 2
11867, 刘刚, 男, 2
11867, 刘刚, 男, 2
11867, 刘刚, 男, 2
11867, 刘刚, 男, 2
12167, 周霞, 男, 2
12167, 周霞, 男, 2
12167, 周霞, 男, 2
12167, 周霞, 男, 2
12167, 周霞, 男, 2
12167, 周霞, 男, 2
12292, 高强, 男, 2
12292, 高强, 男, 2
12292, 高强, 男, 2
12292, 高强, 男, 2
12292, 高强, 男, 2
12292, 高强, 男, 2
12735, 张花, 男, 2
12735, 张花, 男, 2
12735, 张花, 男, 2
12735, 张花, 男, 2
12735, 张花, 男, 2
12735, 张花, 男, 2
16130, 吴强, 男, 2
16130, 吴强, 男, 2
16130, 吴强, 男, 2
16130, 吴强, 男, 2
16130, 吴强, 男, 2
16130, 吴强, 男, 2
17535, 张芳, 男, 2
